"id","prioridad","trabajo","hallazgos","responsable_sugerido","dias_persona_min","dias_persona_max","dependencias","criterio_de_aceptacion","estado"
"T01","P0","Aislar entornos y proteger scripts/migraciones","OP-01","Plataforma + backend","2","4","","CI y desarrollo funcionan con credenciales y datos sintéticos; scripts rechazan producción.","Propuesto; no implementado"
"T02","P0","Restringir datos médicos y DTO de usuarios","SEG-01;SEG-11","Backend + seguridad","2","4","T01","Roles básicos no reciben salud/certificados ni material de autenticación; pruebas entre tenants.","Propuesto; no implementado"
"T03","P0","Proteger recuperación privilegiada y cambio de contraseña","SEG-02;SEG-03;SEG-08","Backend + seguridad","3","5","T01","ADMIN no recupera OWNER/superadmin; cambio forzado solo en estado limitado; reautenticación validada.","Propuesto; no implementado"
"T04","P0","Autorizar propiedad de archivos y migrar documentos privados","SEG-04;SEG-06;SEG-13","Backend + plataforma","5","9","T01","Asociar/borrar objeto ajeno se rechaza; descarga privada autoriza cada lectura; objetos previos inventariados.","Propuesto; no implementado"
"T05","P1","Unificar emisión, revocación y política de sesión/IP","SEG-05;SEG-07;SEG-08","Backend","3","6","T03","Todos los tokens tienen registro; logout revoca copias; cambio de empresa aplica IP y límite absoluto.","Propuesto; no implementado"
"T06","P1","Completar controles de integraciones, abuso y CSP","SEG-09;SEG-10;SEG-12;SEG-13;SEG-14","Backend + plataforma","5","9","T04;T05","Cuotas sobreviven entre instancias; suspensión corta integraciones; webhooks duplicados no repiten firma; subidas no autorizadas no consumen storage.","Propuesto; no implementado"
"T07","P1","Crear CI de build, PostgreSQL aislado y recorridos E2E","OP-11;UX-14","QA + backend + plataforma","5","8","T01","Checkout limpio compila/migra; escenarios económicos y de autorización fallan ante regresiones; ninguna prueba apunta a producción.","Propuesto; no implementado"
"T08","P1","Unificar estados y efectos de ventas, guías y notas de crédito","N-01;N-02;N-04;N-05;N-09","Backend ERP","6","10","T07","Borradores no mueven saldos; guía/factura usan relaciones por línea; NC respeta origen/montos; una transición produce un efecto.","Propuesto; no implementado"
"T09","P1","Corregir OC, recepción, matching y aprobación de compras","N-05;N-06;N-08;N-09;N-17","Backend ERP","6","10","T07","Validación agregada por línea; anulados no reviven; cambios invalidan aprobación; identidad emisor/tipo/folio inequívoca.","Propuesto; no implementado"
"T10","P1","Cerrar idempotencia en ventas, POS, webhooks y acciones IA","N-16;UX-02;OP-06;OP-07","Backend + frontend","5","9","T07","Respuesta perdida, reinicio o dos instancias producen un único documento/pago/plan; payload distinto con la misma clave se rechaza.","Propuesto; no implementado"
"T11","P1","Sincronizar cierre de caja con toda actividad del turno","N-07;N-09","Backend ERP","3","5","T07","Venta/movimiento/anulación concurrente queda incluido en el cierre o es rechazado antes de mutar.","Propuesto; no implementado"
"T12","P1","Separar cobros, aplicaciones de crédito y reembolsos","N-03;N-11","Backend + responsable contable","7","12","T08;T09;T10","Cobro real, aplicación NC y saldo disponible concilian; anular revierte aplicación exacta y contabiliza devolución.","Propuesto; no implementado"
